Date,Minutes,Seconds,Calories,Distance,Resistance,Notes
4/2/18,79,31,618,,,
4/3/18,78,35,625,,,
4/4/18,86,22,626,,,
4/5/18,62,35,435,,,
4/6/18,49,54,342,,,
4/7/18,32,31,232,,3,
4/8/18,60,3,456,,3,
4/9/18,56,19,346,,4,
4/10/18,63,26,411,,4,
4/11/18,84,31,613,,3,
4/12/18,56,31,391,,3,
4/13/18,64,9,456,,3,
4/14/18,58,53,518,,2,
4/15/18,76,24,638,,2,
4/16/18,40,7,317,,3,
4/17/18,82,41,668,,3,
4/18/18,31,17,229,,4,
4/18/18,64,9,617,,2,
4/19/18,22,26,183,,3,
4/20/18,34,45,256,,3,
4/21/18,37,41,271,,4,
4/22/18,37,31,252,,4,
4/22/18,21,30,139,,5,
4/23/18,26,30,166,,5,
4/23/18,47,35,415,,2,
4/23/18,20,27,151,,3,
4/24/18,38,4,267,,2,
4/25/18,63,11,492,,2,
4/26/18,47,58,348,,3,
4/27/18,35,9,284,,2,
4/29/18,23,7,144,,5,
4/30/18,42,15,358,,2,
4/30/18,44,15,348,,3,
5/1/18,21,37,157,,4,
5/2/18,30,10,236,,3,
5/3/18,57,29,453,,3,
5/4/18,26,3,198,,3,
5/5/18,39,1,331,,2,
5/6/18,42,49,363,,2,
5/7/18,42,40,372,,2,
5/8/18,30,55,221,,4,
5/8/18,25,35,218,,2,
5/9/18,73,3,582,,3,
5/20/18,32,50,262.9,10.8,3,
5/21/18,20,22,147.5,6.1,4,
5/21/18,21,32,141.4,5.8,5,
5/22/18,34,58,311.6,12.9,2,
5/23/18,28,1,241.3,9.9,3,
5/23/18,27,37,179.4,7.4,5,
5/24/18,23,16,170.4,7,4,
5/25/18,68,27,520.9,21.5,3,
5/26/18,35,36,243.8,10.1,4,
5/28/18,81,43,541.2,22.4,4,
5/29/18,59,47,492.5,20.4,2,
5/30/18,43,39,337,13.9,3,
5/31/18,45,14,360.5,14.9,3,
6/5/18,24,54,205.2,8.5,3,
6/6/18,46,8,329.4,13.6,4,
6/7/18,34,20,259.3,10.7,4,
